gene_id,gene_short_name,timepoint,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000198786,MT-ND5,1,0.3432968644210782,5.198476479931468,0.9378612716763006,0.36604226529951633,0.010578061322935123,8.513006486639104e-7,0.08565276346467068
ENSG00000198727,MT-CYB,1,0.36847968594540564,11.966903424735676,0.9898843930635838,0.3722451717871835,0.029829038053865168,1.2722870456774723e-16,1.2800988881379319e-11
ENSG00000116251,RPL22,2,0.3356154953099675,6.106189831185655,0.9854576561163387,0.3405681545289514,0.004481428100307723,1.105520208617937e-4,1
ENSG00000142937,RPS8,2,0.3332034359218892,17.51084719389945,0.9993584260051326,0.3334173478216893,0.0050014270826930565,4.417114922875934e-5,1
ENSG00000163131,CTSS,2,0.33163548209921573,6.198599781766828,0.9816082121471343,0.3378491316548873,0.004197740885436959,1.827599029164661e-4,1
ENSG00000177954,RPS27,2,0.34031555427894794,12.358978400235902,0.995295124037639,0.3419242655368201,0.004051591420907706,2.3694683295735354e-4,1
ENSG00000197756,RPL37A,2,0.3392359103202612,6.0718107582169445,0.9726261762189906,0.3487834469343758,0.004055973257349867,2.3510761742893353e-4,1
ENSG00000144713,RPL32,2,0.3307907249338563,17.411431716438386,0.9995722840034217,0.330932269959502,0.003217407088942273,0.0010545950433951932,1
ENSG00000182899,RPL35A,2,0.33550167480428983,11.008945892609795,0.9991445680068435,0.33578891938888256,0.004736774027354905,7.041368057626013e-5,1
ENSG00000163682,RPL9,2,0.3371683179921179,5.627298095217999,0.9792557741659538,0.344310778539232,0.0029936082609652776,0.0015803431034538073,1
ENSG00000109475,RPL34,2,0.3392928867971978,16.516720069049004,1,0.3392928867971978,0.01589635289561717,3.1408118276327976e-13,3.160096412254463e-8
ENSG00000145425,RPS3A,2,0.3328064329230316,11.78647471896277,0.9978614200171086,0.3335196914590861,0.0060714475968737126,6.774434314078739e-6,0.6816029340767182
ENSG00000145592,RPL37,2,0.3477062457883373,13.62969768587214,0.9985029940119761,0.34822754450766014,0.014402656002731523,4.018736674290973e-12,4.04341171747112e-7
ENSG00000186468,RPS23,2,0.3311145446178778,13.530557783596763,0.9980752780153977,0.33175307705875223,0.0021837645309272955,0.006968575147118844,1
ENSG00000164587,RPS14,2,0.33707850334792033,17.394825255001464,0.9995722840034217,0.3372227389077611,0.011553651417702215,5.255753242765717e-10,5.288023567676299e-5
ENSG00000120129,DUSP1,2,0.33680768270196454,7.8865948986600385,0.9813943541488451,0.3431930103103914,0.0013445410889403816,0.03424698806267684,1
ENSG00000204628,RACK1,2,0.32755452608681884,6.817529098734107,0.985885372112917,0.33224402689413557,8.158345178009693e-4,0.09912672641177453,1
ENSG00000231500,RPS18,2,0.3303989993538634,11.026193436668015,0.9940119760479041,0.33238935477165776,0.0011401004205337064,0.05123247521589606,1
ENSG00000112306,RPS12,2,0.33315313045244116,19.90408407151452,0.9993584260051326,0.33336701005684033,0.004901534983571566,5.266452824120091e-5,1
ENSG00000198918,RPL39,2,0.34284648826115927,19.325790392900302,1,0.34284648826115927,0.017174016636545605,3.5573731890940734e-14,3.579215460475111e-9
