"","gene_id","gene_short_name","partition","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value","partition_assignment"
"90","ENSG00000173812","EIF1","3",0.209913940552592,15.4756360574843,0.999668214996682,0.209983609965321,0.420310865633598,1.19192773824364e-316,3.97996591076935e-311,"B2"
"91","ENSG00000132475","H3F3B","3",0.254606253558719,33.1920020265285,1,0.254606253558719,0.515678426463957,0,0,"B2"
"92","ENSG00000167658","EEF2","3",0.222489660593214,6.86388213884957,0.997013934970139,0.223156018977686,0.336757378016453,1.9450860542842e-253,6.49483684386038e-248,"B2"
"93","ENSG00000171223","JUNB","3",0.212464749998088,8.55893047774973,0.991041804910418,0.214385254936136,0.277329419805184,1.1084868843573e-208,3.70134855555745e-203,"B2"
"94","ENSG00000105373","NOP53","3",0.216411003149315,2.50403008210937,0.935301924353019,0.231380902267483,0.220518625551248,4.73379538427142e-166,1.58066161676207e-160,"B2"
"95","ENSG00000211639","IGLV4-60","3",0.278175086067897,1.50926778413741,0.773059057730591,0.359836785153924,0.416630529237133,7.3758246842901e-314,2.46286162033131e-308,"B2"
"96","ENSG00000211673","IGLV3-1","3",0.418832112871972,1.2403276849731,0.719309887193099,0.582269367249134,0.388852704007958,8.24150741822964e-293,2.75192174202106e-287,"B2"
"97","ENSG00000211679","IGLC3","3",0.526078253367969,1.8729964237227,0.828135368281354,0.635256352424302,0.455727502382337,0,0,"B2"
"98","ENSG00000222037","IGLC6","3",0.317072443553414,0.681044317402847,0.484737889847379,0.654111119007521,0.214272558093741,2.25564693451863e-161,7.53183067905114e-156,"B2"
"99","ENSG00000211685","IGLC7","3",0.368958329661282,0.503362848993678,0.414731254147313,0.889632324479283,0.182428101265297,1.50262852467494e-137,5.01742690674209e-132,"B2"
"100","ENSG00000198355","PIM3","3",0.370191536000568,3.63615582780833,0.935965494359655,0.395518358562818,0.452530106488822,0,0,"B2"
"101","ENSG00000119535","CSF3R","4",0.33292279791652,1.30872682645011,0.707234997195738,0.470738579448973,0.248287684936727,1.91182750939763e-197,6.38378323662964e-192,"Mono1"
"102","ENSG00000163131","CTSS","4",0.344146138740814,4.14758234925472,0.927089175546831,0.371211473306032,0.351649252132786,9.33244925255052e-280,3.11619812991914e-274,"Mono1"
"103","ENSG00000163191","S100A11","4",0.34629613522684,4.31864752865036,0.918115535614134,0.37718143500883,0.385563985096043,6.86869912627606e-307,2.29352732525484e-301,"Mono1"
"104","ENSG00000163220","S100A9","4",0.316618190870301,16.854428123805,0.932697700504767,0.339464963512776,0.416341732684191,0,0,"Mono1"
"105","ENSG00000197956","S100A6","4",0.321860797581684,19.4867675622692,0.975602916432978,0.329909630404221,0.389005512424775,1.20226494670458e-309,4.01448288354127e-304,"Mono1"
"106","ENSG00000196154","S100A4","4",0.318057065953497,12.764201049316,0.968311833987661,0.328465536400281,0.389405553593862,5.74778476866799e-310,1.91924281210593e-304,"Mono1"
"107","ENSG00000163931","TKT","4",0.314774801663029,2.17573212681504,0.859226023555805,0.366346913423747,0.30120258597778,1.63675188737399e-239,5.46527822713049e-234,"Mono1"
"108","ENSG00000121552","CSTA","4",0.345765150718185,1.6361723798948,0.790241166573191,0.437543835152962,0.30157529562025,8.26329453500192e-240,2.75919667818249e-234,"Mono1"
"109","ENSG00000204482","LST1","4",0.457136671191316,4.10480539280299,0.91839596186203,0.497755532662056,0.472916441832926,0,0,"Mono1"
"110","ENSG00000204472","AIF1","4",0.445942174801157,4.94698020564814,0.9385866517106,0.475120942737056,0.516371613477722,0,0,"Mono1"
"111","ENSG00000127951","FGL2","4",0.365429375192493,0.938170892205807,0.624789680314077,0.584883820438255,0.226351645060945,4.76323189431082e-180,1.59049076182933e-174,"Mono1"
"112","ENSG00000085265","FCN1","4",0.44623143773402,6.12631832058517,0.945036455412227,0.472184364082942,0.536271086402226,0,0,"Mono1"
"113","ENSG00000066336","SPI1","4",0.405844277175657,3.25690560532777,0.920078519349411,0.441097437491129,0.42580132648449,0,0,"Mono1"
"114","ENSG00000245532","NEAT1","4",0.333013999787634,6.70054596834734,0.975883342680875,0.341243656104225,0.439309726893238,0,0,"Mono1"
"115","ENSG00000172243","CLEC7A","4",0.326504578594823,0.916934325051491,0.649186763881099,0.5029439858614,0.221505954074597,3.29213220868519e-176,1.09927586580207e-170,"Mono1"
"116","ENSG00000090382","LYZ","4",0.3838952653301,21.4763690774165,0.958216489063376,0.400635211052718,0.505292110153192,0,0,"Mono1"
"117","ENSG00000170345","FOS","4",0.430668159495924,11.071577127357,0.973079080201907,0.442582898202439,0.470798737102031,0,0,"Mono1"
"118","ENSG00000197249","SERPINA1","4",0.454808108885525,2.8316677449606,0.853897924845766,0.532625850996973,0.397810709909008,1.05568493684493e-316,3.52503757261891e-311,"Mono1"
"119","ENSG00000185215","TNFAIP2","4",0.315589838811746,1.29385136950278,0.717610768367919,0.439778571786903,0.241926717146868,2.13099415714124e-192,7.1156025901103e-187,"Mono1"
"120","ENSG00000103187","COTL1","4",0.311786623718921,6.11910207559261,0.947840717891195,0.328944112479785,0.262746997678471,6.32192592394624e-209,2.11095428526489e-203,"Mono1"
"121","ENSG00000101439","CST3","4",0.317162841982675,13.3929993809902,0.968592260235558,0.327447219024384,0.479358354710745,0,0,"Mono1"
"122","ENSG00000011600","TYROBP","4",0.369160894920009,10.8475645406515,0.969153112731352,0.380910807663412,0.534140696559508,0,0,"Mono1"
"123","ENSG00000100079","LGALS2","4",0.341705301372906,1.39125296135405,0.592821088053842,0.576405442145592,0.192538041748345,2.7935246261794e-153,9.32785807927563e-148,"Mono1"
"124","ENSG00000100300","TSPO","4",0.313750968911013,3.42529772835499,0.925126191811554,0.33914396942609,0.334518971282223,4.47823882119569e-266,1.49532872478545e-260,"Mono1"
"125","ENSG00000025708","TYMP","4",0.39805185641987,3.32101278919381,0.914750420639372,0.43514804414263,0.414752968221625,0,0,"Mono1"
"126","ENSG00000197747","S100A10","5",0.40916720004457,7.2834048400412,0.961145194274029,0.4257080017485,0.463676085519468,1.97769911482234e-160,6.60373511430329e-155,"Mono2"
"127","ENSG00000163191","S100A11","5",0.373742774682438,4.66796908105445,0.932515337423313,0.400789949166035,0.448242258251138,4.01824541921506e-155,1.3417323279301e-149,"Mono2"
"128","ENSG00000163220","S100A9","5",0.532226495016814,30.1905020853091,0.98159509202454,0.542205741798379,0.650994351816683,4.93088587896919e-225,1.6464721038466e-219,"Mono2"
"129","ENSG00000163221","S100A12","5",0.451888256566625,4.92285752060882,0.838445807770961,0.538959408441657,0.459710934207525,4.57125155989821e-159,1.52638660836561e-153,"Mono2"
"130","ENSG00000143546","S100A8","5",0.545152673365102,56.6156172362694,0.991820040899795,0.549648777887701,0.657726010569475,2.31665061668802e-227,7.73552807418297e-222,"Mono2"
"131","ENSG00000197956","S100A6","5",0.403030586937484,25.3751189983662,0.995910020449898,0.404685743352012,0.579984995660494,1.67205389395063e-200,5.58315515729056e-195,"Mono2"
"132","ENSG00000162711","NLRP3","5",0.402184905055934,1.17715820395971,0.646216768916155,0.622368413203644,0.365267837270236,1.26636883598775e-126,4.22853218024669e-121,"Mono2"
